"InsetL [um]","ResFreq [GHz]","Freq [GHz]","dB(S(1,1)) []"
5,300,125,-0.101096877881342
5,300,125.625,-0.10127738538856
5,300,126.25,-0.101466294293167
5,300,126.875,-0.101663513370221
5,300,127.5,-0.1018689544337
5,300,128.125,-0.102082532275651
5,300,128.75,-0.102304164608097
5,300,129.375,-0.102533772007493
5,300,130,-0.102771277861753
5,300,130.625,-0.103016608319739
5,300,131.25,-0.103269692243132
5,300,131.875,-0.103530461160621
5,300,132.5,-0.103798849224377
5,300,133.125,-0.104074793168709
5,300,133.75,-0.104358232270871
5,300,134.375,-0.104649108313958
5,300,135,-0.104947365551849
5,300,135.625,-0.105252950676144
5,300,136.25,-0.105565812785033
5,300,136.875,-0.1058859033541
5,300,137.5,-0.106213176208957
5,300,138.125,-0.106547587499738
5,300,138.75,-0.106889095677376
5,300,139.375,-0.107237661471634
5,300,140,-0.107593247870878
5,300,140.625,-0.107955820103553
5,300,141.25,-0.108325345621334
5,300,141.875,-0.108701794083929
5,300,142.5,-0.109085137345533
5,300,143.125,-0.109475349442868
5,300,143.75,-0.109872406584846
5,300,144.375,-0.110276287143802
5,300,145,-0.110686971648293
5,300,145.625,-0.11110444277747
5,300,146.25,-0.111528685356966
5,300,146.875,-0.111959686356369
5,300,147.5,-0.11239743488819
5,300,148.125,-0.112841922208384
5,300,148.75,-0.113293141718387
5,300,149.375,-0.113751088968701
5,300,150,-0.11421576166398
5,300,150.625,-0.114687159669677
5,300,151.25,-0.115165285020224
5,300,151.875,-0.115650141928738
5,300,152.5,-0.116141736798324
5,300,153.125,-0.11664007823491
5,300,153.75,-0.117145177061657
5,300,154.375,-0.117657046335018
5,300,155,-0.118175701362337
5,300,155.625,-0.118701159721136
5,300,156.25,-0.119233441280018
5,300,156.875,-0.119772568221269
5,300,157.5,-0.120318565065134
5,300,158.125,-0.120871458695855
5,300,158.75,-0.121431278389426
5,300,159.375,-0.121998055843168
5,300,160,-0.122571825207108
5,300,160.625,-0.123152623117217
5,300,161.25,-0.123740488730559
5,300,161.875,-0.124335463762359
5,300,162.5,-0.12493759252507
5,300,163.125,-0.125546921969456
5,300,163.75,-0.126163501727757
5,300,164.375,-0.126787384158988
5,300,165,-0.127418624396419
5,300,165.625,-0.128057280397298
5,300,166.25,-0.128703412994878
5,300,166.875,-0.129357085952815
5,300,167.5,-0.130018366022008
5,300,168.125,-0.130687322999926
5,300,168.75,-0.131364029792554
5,300,169.375,-0.132048562478964
5,300,170,-0.13274100037867
5,300,170.625,-0.133441426121778
5,300,171.25,-0.134149925722085
5,300,171.875,-0.134866588653208
5,300,172.5,-0.135591507927804
5,300,173.125,-0.136324780180038
5,300,173.75,-0.137066505751392
5,300,174.375,-0.137816788779928
5,300,175,-0.138575737293119
5,300,175.625,-0.139343463304392
5,300,176.25,-0.14012008291353
5,300,176.875,-0.140905716411017
5,300,177.5,-0.141700488386546
5,300,178.125,-0.142504527841804
5,300,178.75,-0.143317968307687
5,300,179.375,-0.144140947966159
5,300,180,-0.144973609776886
5,300,180.625,-0.145816101608861
5,300,181.25,-0.146668576377224
5,300,181.875,-0.147531192185434
5,300,182.5,-0.148404112473085
5,300,183.125,-0.149287506169524
5,300,183.75,-0.150181547853553
5,300,184.375,-0.151086417919442
5,300,185,-0.152002302749533
5,300,185.625,-0.152929394893695
