"InsetL [um]","ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
45,300,125,1.50364639461348,3.74823859165313
45,300,125.625,1.50463237901036,3.81702040717897
45,300,126.25,1.50557990955763,3.88563385647835
45,300,126.875,1.50649116273877,3.95408290520293
45,300,127.5,1.50736815241194,4.02237147521731
45,300,128.125,1.50821274465811,4.09050344484842
45,300,128.75,1.50902667103291,4.1584826492597
45,300,129.375,1.50981154041875,4.22631288093097
45,300,130,1.51056884964644,4.29399789022735
45,300,130.625,1.51129999303282,4.36154138604345
45,300,131.25,1.51200627096115,4.42894703651078
45,300,131.875,1.51268889761436,4.49621846975807
45,300,132.5,1.51334900795716,4.56335927471585
45,300,133.125,1.51398766405053,4.63037300195771
45,300,133.75,1.51460586077209,4.69726316457178
45,300,134.375,1.51520453100618,4.76403323905698
45,300,135,1.51578455036034,4.83068666623919
45,300,135.625,1.51634674145762,4.89722685220342
45,300,136.25,1.51689187784864,4.9636571692384
45,300,136.875,1.51742068758193,5.02998095679072
45,300,137.5,1.51793385646704,5.09620152242596
45,300,138.125,1.51843203106056,5.1623221427946
45,300,138.75,1.51891582140226,5.22834606460108
45,300,139.375,1.51938580352525,5.29427650557428
45,300,140,1.51984252176166,5.36011665543831
45,300,140.625,1.52028649086298,5.42586967688248
45,300,141.25,1.52071819795211,5.49153870652952
45,300,141.875,1.52113810432263,5.55712685590162
45,300,142.5,1.52154664709875,5.62263721238327
45,300,143.125,1.52194424076865,5.68807284018108
45,300,143.75,1.52233127860207,5.75343678127966
45,300,144.375,1.52270813396229,5.81873205639386
45,300,145,1.52307516152151,5.88396166591689
45,300,145.625,1.5234326983878,5.94912859086447
45,300,146.25,1.52378106515103,6.01423579381497
45,300,146.875,1.52412056685439,6.07928621984561
45,300,147.5,1.5244514938977,6.14428279746492
45,300,148.125,1.52477412287784,6.20922843954154
45,300,148.75,1.5250887173715,6.27412604422972
45,300,149.375,1.52539552866459,6.33897849589164
45,300,150,1.52569479643269,6.40378866601704
45,300,150.625,1.52598674937608,6.46855941414025
45,300,151.25,1.52627160581299,6.53329358875522
45,300,151.875,1.52654957423413,6.59799402822881
45,300,152.5,1.52682085382137,6.66266356171277
45,300,153.125,1.52708563493328,6.72730501005483
45,300,153.75,1.5273440995599,6.79192118670943
45,300,154.375,1.52759642174895,6.85651489864845
45,300,155,1.52784276800555,6.92108894727259
45,300,155.625,1.52808329766724,6.98564612932371
45,300,156.25,1.52831816325622,7.05018923779885
45,300,156.875,1.52854751081008,7.11472106286636
45,300,157.5,1.52877148019277,7.17924439278477
45,300,158.125,1.52899020538701,7.24376201482486
45,300,158.75,1.52920381476934,7.30827671619576
45,300,159.375,1.52941243136916,7.37279128497537
45,300,160,1.52961617311249,7.43730851104604
45,300,160.625,1.52981515305177,7.50183118703593
45,300,161.25,1.53000947958234,7.56636210926685
45,300,161.875,1.53019925664662,7.63090407870914
45,300,162.5,1.53038458392661,7.69545990194444
45,300,163.125,1.53056555702558,7.76003239213692
45,300,163.75,1.53074226763948,7.82462437001377
45,300,164.375,1.53091480371877,7.88923866485577
45,300,165,1.53108324962122,7.95387811549858
45,300,165.625,1.53124768625622,8.01854557134566
45,300,166.25,1.53140819122109,8.08324389339364
45,300,166.875,1.53156483892979,8.14797595527094
45,300,167.5,1.53171770073461,8.21274464429055
45,300,168.125,1.53186684504107,8.27755286251787
45,300,168.75,1.53201233741648,8.34240352785459
45,300,169.375,1.5321542406925,8.40729957513946
45,300,170,1.53229261506202,8.47224395726708
45,300,170.625,1.53242751817064,8.53723964632568
45,300,171.25,1.53255900520303,8.60228963475497
45,300,171.875,1.53268712896446,8.66739693652512
45,300,172.5,1.53281193995765,8.73256458833817
45,300,173.125,1.53293348645531,8.79779565085285
45,300,173.75,1.53305181456839,8.86309320993428
45,300,174.375,1.53316696831041,8.92846037792962
45,300,175,1.53327898965793,8.9939002949712
45,300,175.625,1.53338791860735,9.0594161303084
45,300,176.25,1.53349379322821,9.12501108366976
45,300,176.875,1.53359664971316,9.19068838665691
45,300,177.5,1.53369652242457,9.25645130417182
45,300,178.125,1.53379344393818,9.32230313587904
45,300,178.75,1.53388744508356,9.3882472177047
45,300,179.375,1.53397855498177,9.45428692337399
45,300,180,1.53406680108014,9.52042566598914
45,300,180.625,1.53415220918424,9.58666689964975
45,300,181.25,1.53423480348726,9.65301412111762
45,300,181.875,1.53431460659669,9.71947087152828
45,300,182.5,1.53439163955841,9.78604073815139
45,300,183.125,1.53446592187831,9.85272735620257
45,300,183.75,1.53453747154132,9.91953441070908
45,300,184.375,1.53460630502801,9.98646563843209
45,300,185,1.53467243732876,10.0535248298482
45,300,185.625,1.53473588195536,10.1207158311933
45,300,186.25,1.5347966509503,10.188042546572
45,300,186.875,1.53485475489345,10.2555089401357
45,300,187.5,1.53491020290634,10.3231190383325
45,300,188.125,1.53496300265391,10.3908769322336
45,300,188.75,1.53501316034364,10.4587867799395
45,300,189.375,1.53506068072213,10.5268528090692
45,300,190,1.53510556706894,10.5950793193388
45,300,190.625,1.53514782118771,10.6634706852326
45,300,191.25,1.53518744339441,10.7320313587725
45,300,191.875,1.53522443250263,10.8007658723898
45,300,192.5,1.53525878580576,10.8696788419068
45,300,193.125,1.53529049905599,10.9387749696328
45,300,193.75,1.53531956643986,11.0080590475814
45,300,194.375,1.53534598055029,11.0775359608158
45,300,195,1.53536973235482,11.1472106909298
45,300,195.625,1.53539081115977,11.217088319672
