"InsetL [um]","ResFreq [GHz]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
25,300,125,0.259800884306762,4.35725789196996
25,300,125.625,0.260536079602755,4.42944988787824
25,300,126.25,0.261279020578731,4.5015248367763
25,300,126.875,0.262029986281158,4.57348615038376
25,300,127.5,0.262789247061875,4.64533721068762
25,300,128.125,0.263557065027484,4.71708137102836
25,300,128.75,0.264333694472055,4.78872195716928
25,300,129.375,0.265119382293926,4.86026226835
25,300,130,0.265914368397306,4.93170557832473
25,300,130.625,0.266718886079622,5.00305513638614
25,300,131.25,0.267533162405004,5.07431416837547
25,300,131.875,0.268357418564874,5.14548587767952
25,300,132.5,0.26919187022606,5.21657344621531
25,300,133.125,0.270036727867177,5.28758003540296
25,300,133.75,0.270892197103854,5.3585087871276
25,300,134.375,0.271758479003247,5.42936282469064
25,300,135,0.272635770388605,5.50014525375141
25,300,135.625,0.273524264134167,5.57085916325949
25,300,136.25,0.27442414945106,5.64150762637846
25,300,136.875,0.275335612164588,5.71209370140164
25,300,137.5,0.276258834983457,5.78262043266044
25,300,138.125,0.277193997761222,5.85309085142584
25,300,138.75,0.278141277750591,5.92350797680365
25,300,139.375,0.279100849850825,5.99387481662401
25,300,140,0.280072886848713,6.06419436832585
25,300,140.625,0.281057559653477,6.13446961983672
25,300,141.25,0.282055037526018,6.20470355044859
25,300,141.875,0.283065488302765,6.27489913169029
25,300,142.5,0.284089078614579,6.34505932819685
25,300,143.125,0.285125974100983,6.41518709857669
25,300,143.75,0.286176339620066,6.48528539627677
25,300,144.375,0.287240339454334,6.55535717044666
25,300,145,0.288318137512885,6.62540536680171
25,300,145.625,0.289409897530133,6.69543292848612
25,300,146.25,0.290515783261415,6.76544279693632
25,300,146.875,0.291635958675742,6.83543791274526
25,300,147.5,0.292770588145969,6.90542121652819
25,300,148.125,0.293919836636662,6.97539564979033
25,300,148.75,0.295083869889928,7.04536415579723
25,300,149.375,0.296262854609441,7.11532968044814
25,300,150,0.297456958642924,7.18529517315307
25,300,150.625,0.298666351163411,7.2552635877142
25,300,151.25,0.299891202849362,7.32523788321193
25,300,151.875,0.301131686064072,7.39522102489651
25,300,152.5,0.302387975034493,7.46521598508557
25,300,153.125,0.303660246029689,7.53522574406825
25,300,153.75,0.304948677539283,7.60525329101654
25,300,154.375,0.306253450451979,7.67530162490448
25,300,155,0.307574748234509,7.7453737554357
25,300,155.625,0.308912757111189,7.81547270398014
25,300,156.25,0.310267666244245,7.88560150452042
25,300,156.875,0.311639667915352,7.95576320460871
25,300,157.5,0.313028957708335,8.02596086633454
25,300,158.125,0.314435734693501,8.09619756730444
25,300,158.75,0.315860201613734,8.16647640163408
25,300,159.375,0.317302565072563,8.2368004809535
25,300,160,0.318763035724538,8.30717293542638
25,300,160.625,0.320241828468077,8.3775969147839
25,300,161.25,0.321739162641021,8.44807558937415
25,300,161.875,0.32325526221926,8.51861215122771
25,300,162.5,0.324790356018557,8.58920981514042
25,300,163.125,0.326344677899845,8.65987181977398
25,300,163.75,0.327918466978359,8.7306014287754
25,300,164.375,0.329511967836805,8.80140193191609
25,300,165,0.331125430742749,8.87227664625161
25,300,165.625,0.332759111870768,8.94322891730287
25,300,166.25,0.334413273529321,9.01426212025996
25,300,166.875,0.33608818439293,9.08537966120947
25,300,167.5,0.33778411973981,9.15658497838629
25,300,168.125,0.339501361695318,9.22788154345118
25,300,168.75,0.341240199481548,9.29927286279499
25,300,169.375,0.343000929673366,9.37076247887085
25,300,170,0.344783856461359,9.44235397155532
25,300,170.625,0.346589291921871,9.51405095953999
25,300,171.25,0.348417556294663,9.5858571017545
25,300,171.875,0.350268978268509,9.65777609882256
25,300,172.5,0.352143895275118,9.72981169455218
25,300,173.125,0.354042653791862,9.80196767746155
25,300,173.75,0.355965609653697,9.87424788234205
25,300,174.375,0.357913128374732,9.94665619185989
25,300,175,0.359885585479899,10.0191965381981
25,300,175.625,0.361883366847314,10.0918729047401
25,300,176.25,0.363906869061687,10.1646893277973
25,300,176.875,0.365956499779464,10.2376498983816
25,300,177.5,0.368032678106118,10.3107587640252
